SiteName,SiteID,PrimaryUse,Borough,AreaHa,Easting,Northing,Qualifier,Access,DataSource,DataVersion,ReleaseDate,Copyright
Warley Street Drain,OS_Hv_0855,River,Havering,0.7073,559598,187386,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Thames Chase Community Forest East,OS_Hv_0045,Other recreational,Havering,16.3096,558721,186006,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St Mary Magdelane Churchyard,OS_Hv_0454,Cemetery/churchyard,Havering,0.3232,558748,184864,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Macon Way Open Space,OS_Hv_0295,Amenity green space,Havering,0.4298,557519,188024,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Cranham Church,OS_Hv_0658,Cemetery/churchyard,Havering,0.3392,557198,186155,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Heron Way Open Space East,OS_Hv_0232,Park,Havering,0.1926,557743,187273,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Franks Wood,OS_Hv_0693,Public woodland,Havering,4.1529,558300,187485,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Lexington Way Open Space,OS_Hv_0276,Play space,Havering,0.6357,557510,188223,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Scrub/woodland W of Moor Lane,OS_Hv_0808,Park,Havering,7.4318,557848,188353,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Clockhouse Gardens,OS_Hv_0077,Park,Havering,1.3134,556397,186533,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Thames Chase Community Forest,OS_Hv_0186,Public woodland,Havering,39.92,558320,186107,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Cranham Playing Fields,OS_Hv_0662,Playing fields,Havering,8.7196,558048,187529,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Old Redland Aggregates Works,OS_Hv_0341,Park,Havering,76.2647,556787,183235,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Upminster Cemetery,OS_Hv_0532,Cemetery/churchyard,Havering,11.1815,556720,185308,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Hadleys Millennium Wood,OS_Hv_0704,Nature reserve,Havering,6.5172,557200,188592,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Cranham Marsh NR,OS_Hv_0098,Nature reserve,Havering,12.1407,557038,185500,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Fleet Close Play Site,OS_Hv_0154,Park,Havering,0.6812,556952,188426,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Upminster Hall Playing Fields,OS_Hv_0537,Recreation ground,Havering,13.4738,556745,187850,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Fox Covert,OS_Hv_0159,Amenity green space,Havering,4.7033,555493,187204,Centroid,Part free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
"Windmill Field, Upminster",OS_Hv_0576,Recreation ground,Havering,0.931,555701,186700,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Upminster Park,OS_Hv_0539,Park,Havering,6.927,555789,186369,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Ingrebourne Greenway,OS_Hv_0251,Park,Havering,10.2548,554647,185641,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Hacton Parkway and Playsite,OS_Hv_0703,Park,Havering,5.1601,554562,185715,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Gaynes Parkway,OS_Hv_0173,Park,Havering,6.7974,555135,186140,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Elliot Playing Field,OS_Hv_0671,Playing fields,Havering,1.2602,555356,188718,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Tyle Green Open Space,OS_Hv_0845,Amenity green space,Havering,2.7632,554461,189113,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St. Andrew's Park,OS_Hv_0465,Recreation ground,Havering,3.0445,554600,187289,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Parklands Open Space,OS_Hv_0788,Park,Havering,4.5242,555752,185068,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Warwick Wood,OS_Hv_0551,Nature reserve,Havering,5.0701,555859,183048,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
"St Andrews, Hornchurch",OS_Hv_0448,Cemetery/churchyard,Havering,4.978,554414,186806,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Folkes Lane Woodland,OS_Hv_0242,Public woodland,Havering,46.5791,557556,189478,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Jermains Wood,OS_Hv_0589,Public woodland,Havering,6.0157,557101,190926,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Pages Wood,OS_Hv_0346,Public woodland,Havering,79.3927,555757,189717,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Harold Wood Park,OS_Hv_0214,Park,Havering,19.5982,555169,190075,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St Pauls Church,OS_Hv_0460,Cemetery/churchyard,Havering,0.361,554911,192009,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Paines Brook,OS_Hv_0782,River,Havering,0.6265,555036,191412,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Penzance Gardens Green,OS_Hv_0356,Other recreational,Havering,0.1635,555191,191637,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Sage Wood NE Extension (Havering),OS_Hv_0425,Public woodland,Havering,4.3215,554717,192228,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Painsbrook Adventure Playground,OS_Hv_0783,Play space,Havering,0.6626,555213,191216,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Central Park (Havering),OS_Hv_0105,Park,Havering,12.4563,554490,192187,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Tylers Common,OS_Hv_0508,Common,Havering,27.5371,556595,190581,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Gooshays Drive Albemarle Fields,OS_Hv_0585,Amenity green space,Havering,0.8568,554350,192021,Centroid,De facto,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Painsbrook Open Space,OS_Hv_0593,Amenity green space,Havering,2.4134,554742,191739,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Hatters Wood,OS_Hv_0218,Other recreational,Havering,12.8738,554674,192763,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
St Neots Adventure Playground,OS_Hv_0595,Playing fields,Havering,3.1826,554919,191515,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Gooshays Drive Verges,OS_Hv_0184,Amenity green space,Havering,3.5577,554524,191491,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
"St Thomas's, Noak Hill",OS_Hv_0463,Cemetery/churchyard,Havering,0.4955,554107,194008,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Sunflower Way Flood Lagoon,OS_Hv_0568,Amenity green space,Havering,0.4695,553982,190536,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Bryant Road Water Storage Area,OS_Hv_0048,Amenity green space,Havering,0.366,553867,190335,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Farringdon Avenue Flood Lagoon,OS_Hv_0133,Playing fields,Havering,1.3052,553526,190910,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Wincanton Road Greens,OS_Hv_0575,Amenity green space,Havering,1.3884,553750,193202,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
Central Park Leisure and Myplace,OS_Hv_0639,Playing fields,Havering,2.27,554158,192216,Centroid,Free,Data source: various,15,Oct-24,Created by Greenspace Information for Greater London CIC (GiGL) – Contains public sector information licensed under the Open Government Licence v3.0
